time,freemem@tsung_controller@ip-172-31-21-126 
0,375599.0390625 
10,375599.0390625 
20,375599.0390625 
30,375599.0390625 
40,375599.0390625 
50,375599.0390625 
60,375599.0390625 
70,375599.0390625 
80,375599.0390625 
90,375599.0390625 
100,375599.0390625 
110,375599.0390625 
120,375599.0390625 
130,375599.0390625 
140,375599.0390625 
150,375599.0390625 
160,375599.0390625 
170,375599.0390625 
180,375599.0390625 
190,375599.0390625 
200,375599.0390625 
210,375599.0390625 
220,375599.0390625 
230,375599.0390625 
